0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:49:57 +1000] "GET /TempelateIntegrationProject/css/bootstrap.css HTTP/1.1" 200 192348
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:49:57 +1000] "GET /TempelateIntegrationProject/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:49:57 +1000] "GET /TempelateIntegrationProject/css/style.css HTTP/1.1" 200 21918
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:49:57 +1000] "GET /TempelateIntegrationProject/css/responsive.css HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:49:57 +1000] "GET /TempelateIntegrationProject/js/jquery-3.4.1.min.js HTTP/1.1" 200 88144
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:49:57 +1000] "GET /TempelateIntegrationProject/js/popper.min.js HTTP/1.1" 200 21257
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:49:57 +1000] "GET /TempelateIntegrationProject/js/bootstrap.js HTTP/1.1" 200 136797
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:49:57 +1000] "GET /TempelateIntegrationProject/js/custom.js HTTP/1.1" 200 962
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:49:57 +1000] "GET /TempelateIntegrationProject/images/logo.png HTTP/1.1" 200 13873
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:49:57 +1000] "GET /TempelateIntegrationProject/images/slider-bg.jpg HTTP/1.1" 200 137672
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:49:58 +1000] "GET /TempelateIntegrationProject/images/p1.png HTTP/1.1" 200 189962
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:49:58 +1000] "GET /TempelateIntegrationProject/images/arrival-bg.png HTTP/1.1" 200 955039
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:49:58 +1000] "GET /TempelateIntegrationProject/images/p2.png HTTP/1.1" 200 80889
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:49:58 +1000] "GET /TempelateIntegrationProject/images/p4.png HTTP/1.1" 200 122775
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:49:58 +1000] "GET /TempelateIntegrationProject/images/p3.png HTTP/1.1" 200 40160
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:49:58 +1000] "GET /TempelateIntegrationProject/images/p5.png HTTP/1.1" 200 141724
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:49:58 +1000] "GET /TempelateIntegrationProject/images/p6.png HTTP/1.1" 200 311345
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:49:58 +1000] "GET /TempelateIntegrationProject/images/p7.png HTTP/1.1" 200 90300
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:49:58 +1000] "GET /TempelateIntegrationProject/images/p8.png HTTP/1.1" 200 164558
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:49:58 +1000] "GET /TempelateIntegrationProject/images/p9.png HTTP/1.1" 200 221725
